region	MDS1	MDS2	macro_group	sub_group
虻田	-0.021311	0.225572	Hokkaido	DonanDoo
厚真	-0.004799	0.224174	Hokkaido	DonanDoo
平取	0.000458	0.218297	Hokkaido	DonanDoo
千歳	-0.006988	0.226722	Hokkaido	DonanDoo
江部乙	-0.012466	0.166066	Hokkaido	DonanDoo
萩野	-0.012779	0.222046	Hokkaido	DonanDoo
日高	0.001992	0.219299	Hokkaido	DonanDoo
穂別	-0.001419	0.219894	Hokkaido	DonanDoo
幌別	-0.016497	0.222608	Hokkaido	DonanDoo
幌満	0.087388	0.139372	Hokkaido	DonanDoo
三石	0.000175	0.225898	Hokkaido	DonanDoo
鵡川	-0.002457	0.221695	Hokkaido	DonanDoo
室蘭	-0.018143	0.223953	Hokkaido	DonanDoo
新冠	-0.000156	0.226637	Hokkaido	DonanDoo
貫気別	-0.001242	0.223620	Hokkaido	DonanDoo
荻伏	0.086467	0.140624	Hokkaido	DonanDoo
長万部	-0.032844	0.223367	Hokkaido	DonanDoo
礼文	-0.032544	0.223911	Hokkaido	DonanDoo
様似	0.087272	0.139622	Hokkaido	DonanDoo
沙流	0.000070	0.218112	Hokkaido	DonanDoo
白老	-0.012473	0.221847	Hokkaido	DonanDoo
静内	-0.000992	0.227295	Hokkaido	DonanDoo
高江	-0.000156	0.226637	Hokkaido	DonanDoo
高島	0.321297	-0.137036	Hokkaido	DonanDoo
豊浦	-0.027028	0.235768	Hokkaido	DonanDoo
浦河	0.086263	0.140489	Hokkaido	DonanDoo
有珠	-0.021406	0.226565	Hokkaido	DonanDoo
空念	-0.025745	0.184360	Hokkaido	DonanDoo
八雲	-0.030374	0.215325	Hokkaido	DonanDoo
旭川	-0.007015	0.156303	Hokkaido	Dohoku
近文	0.268303	-0.138606	Hokkaido	Dohoku
名寄	0.267468	-0.130954	Hokkaido	Dohoku
宗谷	-0.081646	-0.078160	Hokkaido	Dohoku
天塩	-0.074361	-0.076311	Hokkaido	Dohoku
網走	0.323109	-0.178535	Hokkaido	Doto
阿寒	0.326492	-0.188094	Hokkaido	Doto
足寄	0.322810	-0.145767	Hokkaido	Doto
美幌	0.325446	-0.174677	Hokkaido	Doto
広尾	0.121796	0.082351	Hokkaido	Doto
白人	0.314078	-0.118017	Hokkaido	Doto
布伏内	0.318898	-0.185635	Hokkaido	Doto
伏古	0.310743	-0.112179	Hokkaido	Doto
春採	0.314676	-0.184554	Hokkaido	Doto
北見	0.325905	-0.173092	Hokkaido	Doto
釧路	0.103445	0.041179	Hokkaido	Doto
屈斜路	0.325212	-0.189411	Hokkaido	Doto
芽室	0.309828	-0.109973	Hokkaido	Doto
藻琴	0.324208	-0.177526	Hokkaido	Doto
根室	0.037534	0.091440	Hokkaido	Doto
虹別	0.313162	-0.196100	Hokkaido	Doto
帯広	0.311155	-0.112073	Hokkaido	Doto
音更	0.312376	-0.115886	Hokkaido	Doto
斜里	0.323515	-0.182006	Hokkaido	Doto
白糠	0.110598	0.050638	Hokkaido	Doto
十勝	0.322594	-0.140368	Hokkaido	Doto
塘路	0.101645	0.039448	Hokkaido	Doto
智来	-0.476239	-0.064841	Sakhalin	WestCoast
真岡	-0.470108	-0.061049	Sakhalin	WestCoast
ライチシカ	-0.476662	-0.058242	Sakhalin	WestCoast
白主	-0.094598	-0.081367	Sakhalin	WestCoast
多蘭泊	-0.336162	-0.018618	Sakhalin	WestCoast
鵜城	-0.479098	-0.059578	Sakhalin	WestCoast
相浜	-0.469545	-0.060776	Sakhalin	EastCoast
内路	-0.468877	-0.067653	Sakhalin	EastCoast
新問	-0.489189	-0.488456	Sakhalin	EastCoast
落帆	-0.300282	0.087774	Sakhalin	EastCoast
白浜	-0.469507	-0.060674	Sakhalin	EastCoast
白浦	-0.476258	-0.064705	Sakhalin	EastCoast
多来加	-0.465260	-0.070873	Sakhalin	EastCoast
富内	-0.300505	0.087868	Sakhalin	EastCoast
弥満別	-0.269097	0.095123	Sakhalin	EastCoast
千島	-0.423078	-0.537368	Kuril	Hokubu
幌筵	-0.424454	-0.538835	Kuril	Hokubu
占守	-0.423078	-0.537368	Kuril	Hokubu
択捉	0.321704	-0.275892	Kuril	Nambu
南千島	0.328758	-0.270643	Kuril	Nambu
